ID_Kasus,Kategori_Hewan,Jenis_Spesies_Ras,Kategori_Umur,Nama_Penyakit,Gejala_Klinis,Penyebab_Utama,Tingkat_Keparahan,Tindakan_Pertama,Cara_Penanganan,Pemberian_Obat,Dosis_Metode,Kontraindikasi
VET-101812,Anjing,Bulldog,Muda / Sub-Dewasa,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101813,Reptil,Ular Piton,Anak / Juvenile,Metabolic Bone Disease (MBD),"Rahang melunak, kaki gemetar, tempurung lembek, kelumpuhan",Kekurangan Kalsium & sinar UVB,Tinggi,Koreksi pencahayaan kandang,"Jemur di matahari pagi 15-30 menit, pasang lampu UVB 10.0",Kalsium Glukonat Cair,0.2 ml per 100 gram berat badan PO setiap hari,Jangan berikan kalsium tinggi tanpa kecukupan UVB karena memicu batu ginjal
VET-101814,Kucing,Sphynx,Anak / Juvenile,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101815,Anjing,Golden Retriever,Muda / Sub-Dewasa,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101816,Unggas,Burung Kanari,Anak / Juvenile,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101817,Reptil,Gecko,Muda / Sub-Dewasa,Metabolic Bone Disease (MBD),"Rahang melunak, kaki gemetar, tempurung lembek, kelumpuhan",Kekurangan Kalsium & sinar UVB,Tinggi,Koreksi pencahayaan kandang,"Jemur di matahari pagi 15-30 menit, pasang lampu UVB 10.0",Kalsium Glukonat Cair,0.2 ml per 100 gram berat badan PO setiap hari,Jangan berikan kalsium tinggi tanpa kecukupan UVB karena memicu batu ginjal
VET-101818,Kucing,Maine Coon,Tua / Senior,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101819,Anjing,German Shepherd,Dewasa / Adult,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101820,Kucing,Kucing Domestik,Tua / Senior,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101821,Reptil,Bearded Dragon,Muda / Sub-Dewasa,Metabolic Bone Disease (MBD),"Rahang melunak, kaki gemetar, tempurung lembek, kelumpuhan",Kekurangan Kalsium & sinar UVB,Tinggi,Koreksi pencahayaan kandang,"Jemur di matahari pagi 15-30 menit, pasang lampu UVB 10.0",Kalsium Glukonat Cair,0.2 ml per 100 gram berat badan PO setiap hari,Jangan berikan kalsium tinggi tanpa kecukupan UVB karena memicu batu ginjal
VET-101822,Unggas,Burung Merpati,Dewasa / Adult,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101823,Ikan,Ikan Guppy,Muda / Sub-Dewasa,White Spot (Ich),"Bintik putih seperti garam di kulit/insang, ikan menggesekkan badan",Protozoa Ichthyophthirius multifiliis,Sedang,"Karantina ikan, naikkan suhu akuarium perlahan","Naikkan suhu air hingga 28-30°C, tingkatkan aerasi udara",Methylene Blue & Garam Ikan,1 tetes per 2 liter air akuarium; Garam 1-3 gram/liter,Jangan gunakan Methylene Blue pada akuarium utama berfilter biologi karena mematikan bakteri baik
VET-101824,Kucing,Sphynx,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101825,Kucing,Persia,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101826,Kucing,Siam,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101827,Unggas,Bebek Pekin,Tua / Senior,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101828,Anjing,Bulldog,Anak / Juvenile,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101829,Ikan,Ikan Guppy,Tua / Senior,White Spot (Ich),"Bintik putih seperti garam di kulit/insang, ikan menggesekkan badan",Protozoa Ichthyophthirius multifiliis,Sedang,"Karantina ikan, naikkan suhu akuarium perlahan","Naikkan suhu air hingga 28-30°C, tingkatkan aerasi udara",Methylene Blue & Garam Ikan,1 tetes per 2 liter air akuarium; Garam 1-3 gram/liter,Jangan gunakan Methylene Blue pada akuarium utama berfilter biologi karena mematikan bakteri baik
VET-101830,Anjing,Husky,Dewasa / Adult,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101831,Kucing,Sphynx,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101832,Reptil,Kura-kura Brazil,Anak / Juvenile,Metabolic Bone Disease (MBD),"Rahang melunak, kaki gemetar, tempurung lembek, kelumpuhan",Kekurangan Kalsium & sinar UVB,Tinggi,Koreksi pencahayaan kandang,"Jemur di matahari pagi 15-30 menit, pasang lampu UVB 10.0",Kalsium Glukonat Cair,0.2 ml per 100 gram berat badan PO setiap hari,Jangan berikan kalsium tinggi tanpa kecukupan UVB karena memicu batu ginjal
VET-101833,Ikan,Ikan Koi,Muda / Sub-Dewasa,White Spot (Ich),"Bintik putih seperti garam di kulit/insang, ikan menggesekkan badan",Protozoa Ichthyophthirius multifiliis,Sedang,"Karantina ikan, naikkan suhu akuarium perlahan","Naikkan suhu air hingga 28-30°C, tingkatkan aerasi udara",Methylene Blue & Garam Ikan,1 tetes per 2 liter air akuarium; Garam 1-3 gram/liter,Jangan gunakan Methylene Blue pada akuarium utama berfilter biologi karena mematikan bakteri baik
VET-101834,Anjing,Poodle,Anak / Juvenile,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101835,Anjing,Rotweiler,Anak / Juvenile,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101836,Anjing,Husky,Anak / Juvenile,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101837,Kelinci,Rex,Anak / Juvenile,Ear Canker (Kudis Telinga),"Kerak coklat di telinga, sering garuk kepala, menggeleng",Tungau Psoroptes cuniculi,Sedang,Pembersihan kerak secara perlahan,"Olesi minyak zaitun untuk melunakkan kerak, pisahkan kandang",Ivermectin tetes/injeksi,"Injeksi SC 0.4 mg/kg BB, ulangi setelah 14 hari",Jangan dikelupas paksa tanpa pelunak karena memicu pendarahan parah
VET-101838,Kucing,Siam,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101839,Unggas,Burung Kanari,Dewasa / Adult,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101840,Ikan,Ikan Mas Koki,Tua / Senior,White Spot (Ich),"Bintik putih seperti garam di kulit/insang, ikan menggesekkan badan",Protozoa Ichthyophthirius multifiliis,Sedang,"Karantina ikan, naikkan suhu akuarium perlahan","Naikkan suhu air hingga 28-30°C, tingkatkan aerasi udara",Methylene Blue & Garam Ikan,1 tetes per 2 liter air akuarium; Garam 1-3 gram/liter,Jangan gunakan Methylene Blue pada akuarium utama berfilter biologi karena mematikan bakteri baik
VET-101841,Anjing,German Shepherd,Dewasa / Adult,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101842,Kelinci,New Zealand White,Dewasa / Adult,GI Stasis,"Kotoran mengecil/tidak ada, perut kembung, tidak mau makan","Diet rendah serat, stres, dehidrasi",Tinggi,"Pemberian cairan oral darurat, pijat perut perlahan","Suap makanan cair (Critical Care), hentikan pelet komersial",Metoclopramide & Meloxicam,Metoclopramide 0.5 mg/kg PO tiap 12 jam; Meloxicam 0.3 mg/kg PO,Jangan berikan obat pencahar keras jika ada penyumbatan total fisik
VET-101843,Anjing,Rotweiler,Anak / Juvenile,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101844,Kelinci,Holland Lop,Muda / Sub-Dewasa,GI Stasis,"Kotoran mengecil/tidak ada, perut kembung, tidak mau makan","Diet rendah serat, stres, dehidrasi",Tinggi,"Pemberian cairan oral darurat, pijat perut perlahan","Suap makanan cair (Critical Care), hentikan pelet komersial",Metoclopramide & Meloxicam,Metoclopramide 0.5 mg/kg PO tiap 12 jam; Meloxicam 0.3 mg/kg PO,Jangan berikan obat pencahar keras jika ada penyumbatan total fisik
VET-101845,Kelinci,Holland Lop,Anak / Juvenile,Ear Canker (Kudis Telinga),"Kerak coklat di telinga, sering garuk kepala, menggeleng",Tungau Psoroptes cuniculi,Sedang,Pembersihan kerak secara perlahan,"Olesi minyak zaitun untuk melunakkan kerak, pisahkan kandang",Ivermectin tetes/injeksi,"Injeksi SC 0.4 mg/kg BB, ulangi setelah 14 hari",Jangan dikelupas paksa tanpa pelunak karena memicu pendarahan parah
VET-101846,Kucing,Sphynx,Tua / Senior,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101847,Anjing,Beagle,Tua / Senior,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101848,Anjing,Poodle,Tua / Senior,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101849,Ikan,Ikan Discus,Muda / Sub-Dewasa,White Spot (Ich),"Bintik putih seperti garam di kulit/insang, ikan menggesekkan badan",Protozoa Ichthyophthirius multifiliis,Sedang,"Karantina ikan, naikkan suhu akuarium perlahan","Naikkan suhu air hingga 28-30°C, tingkatkan aerasi udara",Methylene Blue & Garam Ikan,1 tetes per 2 liter air akuarium; Garam 1-3 gram/liter,Jangan gunakan Methylene Blue pada akuarium utama berfilter biologi karena mematikan bakteri baik
VET-101850,Anjing,Golden Retriever,Anak / Juvenile,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101851,Kucing,Persia,Tua / Senior,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101852,Unggas,Bebek Pekin,Muda / Sub-Dewasa,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101853,Anjing,Beagle,Tua / Senior,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101854,Anjing,German Shepherd,Anak / Juvenile,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101855,Anjing,Beagle,Dewasa / Adult,Distemper,"Ingus kental, batuk, kejang, telapak kaki mengeras",Canine Distemper Virus,Kritis,"Suplementasi saraf, isolasi total","Terapi suportif nutrisi tinggi, ruang gelap jika kejang",Diazepam (jika kejang) & Vitamin B Kompleks,Diazepam 0.5 mg/kg IV; Vit B 1 tablet/hari,Hindari vaksinasi saat sakit; jangan gunakan obat penekan imun tubuh
VET-101856,Kucing,Maine Coon,Anak / Juvenile,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101857,Unggas,Ayam Kampung,Muda / Sub-Dewasa,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101858,Unggas,Bebek Pekin,Dewasa / Adult,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101859,Unggas,Ayam Broiler,Anak / Juvenile,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101860,Kelinci,Holland Lop,Anak / Juvenile,Ear Canker (Kudis Telinga),"Kerak coklat di telinga, sering garuk kepala, menggeleng",Tungau Psoroptes cuniculi,Sedang,Pembersihan kerak secara perlahan,"Olesi minyak zaitun untuk melunakkan kerak, pisahkan kandang",Ivermectin tetes/injeksi,"Injeksi SC 0.4 mg/kg BB, ulangi setelah 14 hari",Jangan dikelupas paksa tanpa pelunak karena memicu pendarahan parah
VET-101861,Kucing,Kucing Domestik,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101862,Kucing,Sphynx,Anak / Juvenile,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101863,Unggas,Burung Beo,Tua / Senior,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101864,Anjing,Golden Retriever,Dewasa / Adult,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101865,Unggas,Ayam Broiler,Anak / Juvenile,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101866,Unggas,Ayam Kampung,Dewasa / Adult,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101867,Unggas,Burung Merpati,Dewasa / Adult,Newcastle Disease (Tetelo),"Leher berputar (tortikolis), batuk, ngorok, kotoran hijau",Avian Paramyxovirus,Kritis,"Pemisahan ayam sakit, desinfeksi kandang menyeluruh","Pemberian vitamin dosis tinggi, jaga sanitasi air minum",Vitamin Kompleks & Antibiotik Amoxicillin (sekunder),Vitamin 1 gram/liter air minum; Amoxicillin 20 mg/kg BB,"Tidak ada obat virus spesifik, hindari antibiotik overdosis karena merusak hati"
VET-101868,Anjing,Rotweiler,Tua / Senior,Parvovirus,"Muntah parah, diare berdarah, lesu, dehidrasi",Canine Parvovirus,Kritis,"Isolasi ketat, terapi cairan (infus IV)","Rawat inap di klinik, jaga kehangatan tubuh",Cairan Ringer Lactate & Antibiotik Ceftriaxone,Infus 60 ml/kg/hari; Ceftriaxone 25 mg/kg IV tiap 12 jam,Jangan berikan makanan padat saat muntah aktif; hindari obat steroid
VET-101869,Kucing,Maine Coon,Muda / Sub-Dewasa,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101870,Kucing,Sphynx,Dewasa / Adult,Feline Panleukopenia,"Muntah empedu, diare bau busuk, demam tinggi, duduk di depan mangkok air",Feline Parvovirus,Kritis,"Isolasi ketat, rehidrasi agresif","Terapi cairan intravena, penghangat tubuh",Cefotaxime & Ondansetron,Cefotaxime 20 mg/kg IV tiap 12 jam; Ondansetron 0.5 mg/kg IV,Jangan berikan obat cacing saat kondisi kritis/lemas
VET-101871,Reptil,Kura-kura Brazil,Muda / Sub-Dewasa,Metabolic Bone Disease (MBD),"Rahang melunak, kaki gemetar, tempurung lembek, kelumpuhan",Kekurangan Kalsium & sinar UVB,Tinggi,Koreksi pencahayaan kandang,"Jemur di matahari pagi 15-30 menit, pasang lampu UVB 10.0",Kalsium Glukonat Cair,0.2 ml per 100 gram berat badan PO setiap hari,Jangan berikan kalsium tinggi tanpa kecukupan UVB karena memicu batu ginjal
